page,target_keyword,owner,cluster,priority,current_title,current_meta,indexed,last_7d_clicks,last_7d_impressions,last_7d_ctr,last_7d_position,last_28d_clicks,last_28d_impressions,last_28d_ctr,last_28d_position,top_query_1,top_query_2,top_query_3,primary_issue,recommended_action,status,next_review_date,notes
/compare/langfuse-alternative,langfuse alternative,marketing,compare,P1,,,,,,,,,,,,,,,rewrite title/meta,queued,,
/compare/tokvera-vs-langsmith,tokvera vs langsmith,marketing,compare,P1,,,,,,,,,,,,,,,rewrite title/meta,queued,,
/integrations/fastapi-ai-tracing,fastapi ai tracing,marketing,integration,P1,,,,,,,,,,,,,,,add proof asset,queued,,
/integrations/python-openai-tracing,python openai tracing,marketing,integration,P2,,,,,,,,,,,,,,,rewrite title/meta,queued,,
/use-cases/rag-observability,rag observability,marketing,use-case,P2,,,,,,,,,,,,,,,add internal links,queued,,
/compare/langsmith-alternative,langsmith alternative,marketing,compare,P1,,,,,,,,,,,,,,,review,queued,,
/compare/tokvera-vs-langfuse,tokvera vs langfuse,marketing,compare,P1,,,,,,,,,,,,,,,review,queued,,
/integrations/langgraph-tracing,langgraph tracing,marketing,integration,P1,,,,,,,,,,,,,,,review,queued,,
/integrations/python-ai-workflow-tracing,python ai workflow tracing,marketing,integration,P1,,,,,,,,,,,,,,,review,queued,,
/use-cases/customer-support-ai-observability,customer support ai observability,marketing,use-case,P1,,,,,,,,,,,,,,,review,queued,,
